Estimated_Insects_Count,Crop_Type,Soil_Type,Pesticide_Use_Category,Number_Doses_Week,Number_Weeks_Used,Number_Weeks_Quit,Season,Crop_Damage
851,0,1,3,20,0,0,1,0
851,0,1,3,20,0,0,2,0
851,0,1,3,30,0,0,1,0
850,0,1,3,50,0,0,2,0
851,0,1,3,55,0,0,2,0
851,0,1,3,30,0,0,2,1
851,0,1,3,20,0,0,1,1
915,0,0,3,50,0,0,3,0
915,0,0,3,40,0,0,3,1
915,0,0,3,20,0,0,1,1
916,0,1,3,20,0,0,1,0
915,0,1,3,30,0,0,3,0
915,0,1,3,40,0,0,1,0
915,0,1,3,40,0,0,2,0
915,0,1,3,60,0,0,2,0
984,0,0,3,25,0,0,2,0
984,0,0,3,25,0,0,2,1
984,0,0,3,40,0,0,2,2
984,0,1,3,20,0,0,2,0
984,0,1,3,25,0,0,2,0
984,0,1,3,30,0,0,1,0
1056,0,0,3,20,0,0,3,0
1056,0,0,3,40,0,0,1,1
1056,0,0,3,40,0,0,2,1
1056,0,1,3,10,0,0,2,0
1056,0,1,3,25,0,0,2,0
1056,0,1,3,30,0,0,2,0
1056,0,1,3,35,0,0,2,0
1056,0,1,3,50,0,0,2,0
1056,0,1,3,60,0,0,1,0
1056,0,1,3,15,0,0,2,1
1056,0,1,3,50,0,0,2,1
1056,0,1,3,30,0,0,3,1
1056,0,1,3,10,0,0,3,2
1056,0,1,3,20,0,0,3,2
1056,0,1,3,30,0,0,2,2
1132,0,0,3,5,0,0,2,0
1132,0,0,3,5,0,0,2,0
1132,0,0,3,10,0,0,2,0
1132,0,0,3,20,0,0,2,0
1132,0,0,3,25,0,0,2,0
1132,0,0,3,30,0,0,2,0
1132,0,0,3,30,0,0,3,0
1132,0,0,3,50,0,0,2,0
1132,0,0,3,40,0,0,2,1
1132,0,0,3,40,0,0,3,1
1132,0,0,3,20,0,0,1,1
1132,0,0,3,40,0,0,1,2
1132,0,1,3,5,0,0,1,0
1132,0,1,3,20,0,0,1,0
1132,0,1,3,20,0,0,3,0
1132,0,1,3,25,0,0,3,0
1132,0,1,3,30,0,0,2,0
1132,0,1,3,80,0,0,2,0
1132,0,1,3,30,0,0,2,2
1212,0,0,3,5,0,0,2,0
1212,0,0,3,20,0,0,2,0
1212,0,0,3,35,0,0,1,0
1212,0,0,3,10,0,0,1,1
1212,0,0,3,20,0,0,3,1
1212,0,0,3,40,0,0,1,1
1212,0,0,3,40,0,0,3,1
1212,0,0,3,40,0,0,2,1
1212,0,0,3,40,0,0,3,1
1212,0,0,3,50,0,0,2,1
1212,0,0,3,20,0,0,3,2
1212,0,1,3,5,0,0,2,0
1212,0,1,3,20,0,0,2,0
1212,0,1,3,30,0,0,3,0
1212,0,1,3,45,0,0,2,0
1212,0,1,3,50,0,0,2,0
1212,0,1,3,50,0,0,1,0
1212,0,1,3,15,0,0,2,1
1212,0,1,3,20,0,0,1,1
1212,0,1,3,20,0,0,2,1
1212,0,1,3,30,0,0,2,2
1296,0,0,3,20,0,0,2,0
1297,0,0,3,45,0,0,2,0
1296,0,0,3,5,0,0,2,1
1296,0,0,3,10,0,0,2,1
1297,0,0,3,20,0,0,2,1
1296,0,0,3,25,0,0,2,1
1296,0,1,3,35,0,0,3,0
1296,0,1,3,40,0,0,2,0
1296,0,1,3,10,0,0,2,1
1385,0,0,3,15,0,0,2,0
1385,0,0,3,25,0,0,2,0
1385,0,0,3,25,0,0,3,0
1385,0,0,3,30,0,0,1,0
1385,0,0,3,40,0,0,2,0
1385,0,0,3,10,0,0,2,2
1385,0,0,3,40,0,0,3,2
1385,0,1,3,5,0,0,3,0
1385,0,1,3,10,0,0,2,0
1385,0,1,3,10,0,0,2,0
1385,0,1,3,25,0,0,2,0
1385,0,1,3,30,0,0,1,0
1385,0,1,3,35,0,0,3,0
1385,0,1,3,50,0,0,2,0
1385,0,1,3,20,0,0,2,1
1385,0,1,3,40,0,0,2,1
1385,0,1,3,10,0,0,2,1
1478,0,0,3,10,0,0,1,0
1478,0,0,3,15,0,0,1,0
1478,0,0,3,20,0,0,1,0
1478,0,0,3,40,0,0,2,0
1478,0,0,3,30,0,0,1,1
1478,0,0,3,20,0,0,1,1
1478,0,0,3,35,0,0,1,1
1478,0,0,3,30,0,0,2,1
1478,0,0,3,30,0,0,3,2
1478,0,1,3,5,0,0,2,0
1478,0,1,3,20,0,0,3,0
1478,0,1,3,30,0,0,1,0
1478,0,1,3,60,0,0,2,0
1478,0,1,3,60,0,0,1,0
1478,0,1,3,20,0,0,2,2
1576,0,0,3,15,0,0,2,0
1576,0,0,3,30,0,0,2,0
1576,0,0,3,50,0,0,2,0
1576,0,0,3,80,0,0,3,0
1576,0,0,3,30,0,0,3,1
1576,0,0,3,20,0,0,3,1
1576,0,0,3,25,0,0,2,1
1575,0,1,3,5,0,0,3,0
1576,0,1,3,10,0,0,1,0
1576,0,1,3,30,0,0,2,0
1576,0,1,3,60,0,0,2,0
1576,0,1,3,40,0,0,3,1
1678,0,0,3,10,0,0,2,0
1678,0,0,3,20,0,0,2,1
1678,0,0,3,10,0,0,2,1
1678,0,0,3,50,0,0,2,2
1678,0,0,3,5,0,0,2,2
1678,0,1,3,5,0,0,3,0
1678,0,1,3,10,0,0,1,0
1678,0,1,3,15,0,0,2,0
1678,0,1,3,20,0,0,3,0
1678,0,1,3,50,0,0,2,1
1785,0,0,3,10,0,0,1,0
1786,0,0,3,50,0,0,2,0
1785,0,0,3,20,0,0,2,1
1786,0,0,3,40,0,0,1,1
1785,0,0,3,40,0,0,1,1
1786,0,0,3,20,0,0,3,1
1786,0,1,3,15,0,0,2,0
1785,0,1,3,40,0,0,1,0
1785,0,1,3,40,0,0,1,0
1785,0,1,3,40,0,0,2,0
1786,0,1,3,45,0,0,2,0
1785,0,1,3,20,0,0,2,1
1785,0,1,3,20,0,0,1,1
1898,0,0,3,15,0,0,3,0
1898,0,0,3,30,0,0,2,0
1898,0,0,3,35,0,0,3,0
1898,0,0,3,40,0,0,3,1
1898,0,0,3,15,0,0,1,1
1898,0,0,3,30,0,0,2,1
1898,0,0,3,30,0,0,2,2
1898,0,1,3,5,0,0,1,0
1898,0,1,3,10,0,0,2,0
1898,0,1,3,5,0,0,2,1
1898,0,1,3,40,0,0,2,1
1898,0,1,3,20,0,0,3,1
1898,0,1,3,25,0,0,1,2
2015,0,0,3,15,0,0,2,0
2015,0,0,3,20,0,0,3,0
2015,0,0,3,50,0,0,2,0
2015,0,0,3,60,0,0,2,0
2016,0,0,3,30,0,0,2,1
2016,0,0,3,20,0,0,1,1
2016,0,0,3,15,0,0,2,1
2015,0,0,3,30,0,0,2,1
2016,0,0,3,60,0,0,2,2
2015,0,1,3,60,0,0,1,0
2016,0,1,3,20,0,0,1,1
2015,0,1,3,15,0,0,2,1
2016,0,1,3,30,0,0,3,1
2015,0,1,3,20,0,0,3,1
2015,0,1,3,20,0,0,2,1
2015,0,1,3,40,0,0,1,1
2139,0,0,3,40,0,0,1,0
2138,0,0,3,20,0,0,3,1
2138,0,0,3,40,0,0,1,1
2138,0,0,3,20,0,0,1,2
2139,0,1,3,20,0,0,1,0
2139,0,1,3,30,0,0,2,1
2267,0,0,3,10,0,0,1,0
2267,0,0,3,20,0,0,3,0
2267,0,0,3,20,0,0,2,0
2267,0,0,3,20,0,0,2,0
2267,0,0,3,20,0,0,2,0
2267,0,0,3,40,0,0,2,0
2267,0,0,3,90,0,0,1,0
2267,0,1,3,15,0,0,1,0
2267,0,1,3,10,0,0,1,1
2402,0,0,3,5,0,0,2,0
2401,0,0,3,15,0,0,2,0
2401,0,0,3,20,0,0,2,0
2401,0,0,3,30,0,0,2,1
2401,0,0,3,60,0,0,2,1
2401,0,0,3,40,0,0,2,1
2402,0,0,3,5,0,0,1,1
2402,0,0,3,60,0,0,2,1
2401,0,1,3,5,0,0,2,0
2401,0,1,3,15,0,0,2,0
2402,0,1,3,20,0,0,2,0
2402,0,1,3,40,0,0,2,0
2542,0,0,3,10,0,0,2,0
2541,0,0,3,15,0,0,1,0
2542,0,0,3,40,0,0,2,0
2541,0,0,3,20,0,0,1,1
2541,0,1,3,5,0,0,2,0
2541,0,1,3,30,0,0,1,0
2542,0,1,3,80,0,0,1,0
2542,0,1,3,10,0,0,2,1
2541,0,1,3,5,0,0,1,1
2688,0,0,3,30,0,0,2,0
2688,0,0,3,40,0,0,2,1
2688,0,0,3,20,0,0,2,2
2687,0,1,3,30,0,0,2,0
2687,0,1,3,30,0,0,3,1
2688,0,1,3,40,0,0,3,1
2688,0,1,3,40,0,0,2,2
2840,0,0,3,10,0,0,2,0
2840,0,0,3,15,0,0,1,0
2840,0,0,3,30,0,0,1,0
2840,0,0,3,20,0,0,1,1
2840,0,0,3,20,0,0,2,1
2840,0,0,3,30,0,0,1,2
2840,0,1,3,10,0,0,1,0
2999,0,0,3,30,0,0,2,1
2999,0,0,3,30,0,0,2,1
2999,0,1,3,15,0,0,2,0
2999,0,1,3,20,0,0,3,0
2999,0,1,3,10,0,0,3,1
3164,0,0,3,5,0,0,1,0
3165,0,0,3,20,0,0,3,0
3165,0,0,3,30,0,0,1,0
3165,0,0,3,5,0,0,3,1
3164,0,1,3,55,0,0,2,0
3336,0,0,3,5,0,0,2,1
3337,0,0,3,20,0,0,3,2
3337,0,1,3,10,0,0,2,0
3337,0,1,3,20,0,0,3,0
3337,0,1,3,15,0,0,3,2
3516,0,0,3,20,0,0,2,0
3516,0,0,3,30,0,0,2,0
3516,0,0,3,20,0,0,2,1
3702,0,0,3,10,0,0,3,0
3702,0,0,3,15,0,0,2,0
3702,0,0,3,20,0,0,2,1
3896,0,0,3,20,0,0,1,0
151,1,0,3,20,0,0,1,0
150,1,0,3,30,0,0,2,0
151,1,0,3,60,0,0,2,0
150,1,1,3,5,0,0,1,0
150,1,1,3,20,0,0,3,0
150,1,1,3,40,0,0,1,0
169,1,1,3,10,0,0,2,0
168,1,1,3,20,0,0,3,0
188,1,1,3,20,0,0,3,0
188,1,1,3,35,0,0,2,0
188,1,1,3,40,0,0,3,0
188,1,1,3,60,0,0,3,0
209,1,0,3,20,0,0,2,0
209,1,0,3,30,0,0,2,0
209,1,0,3,40,0,0,2,0
209,1,1,3,55,0,0,2,0
232,1,0,3,30,0,0,3,0
232,1,0,3,30,0,0,1,0
232,1,0,3,35,0,0,1,0
232,1,1,3,5,0,0,1,0
232,1,1,3,20,0,0,1,0
231,1,1,3,25,0,0,2,0
257,1,0,3,15,0,0,3,0
283,1,1,3,10,0,0,1,0
283,1,1,3,10,0,0,2,0
283,1,1,3,20,0,0,2,0
283,1,1,3,25,0,0,1,0
283,1,1,3,40,0,0,2,0
312,1,1,3,5,0,0,3,0
311,1,1,3,5,0,0,3,0
312,1,1,3,15,0,0,2,0
311,1,1,3,20,0,0,2,0
311,1,1,3,20,0,0,2,0
312,1,1,3,30,0,0,1,0
311,1,1,3,45,0,0,2,0
312,1,1,3,60,0,0,3,0
342,1,0,3,5,0,0,2,0
342,1,0,3,40,0,0,1,0
342,1,0,3,50,0,0,1,0
342,1,1,3,10,0,0,3,0
342,1,1,3,20,0,0,2,0
342,1,1,3,20,0,0,3,1
375,1,0,3,15,0,0,2,0
375,1,0,3,15,0,0,2,0
375,1,0,3,30,0,0,3,0
375,1,0,3,35,0,0,2,0
375,1,0,3,35,0,0,3,0
375,1,0,3,55,0,0,2,0
375,1,1,3,20,0,0,1,0
375,1,1,3,25,0,0,2,0
411,1,0,3,25,0,0,2,0
410,1,0,3,30,0,0,2,0
410,1,0,3,20,0,0,1,1
410,1,1,3,5,0,0,2,0
448,1,0,3,5,0,0,3,0
448,1,0,3,5,0,0,2,0
448,1,0,3,10,0,0,2,0
448,1,0,3,20,0,0,1,0
448,1,0,3,20,0,0,2,0
448,1,0,3,20,0,0,3,0
448,1,0,3,40,0,0,3,0
448,1,1,3,50,0,0,3,0
448,1,1,3,20,0,0,1,1
488,1,0,3,25,0,0,2,0
488,1,0,3,10,0,0,2,1
489,1,0,3,15,0,0,2,1
489,1,0,3,35,0,0,2,1
489,1,0,3,10,0,0,2,1
488,1,0,3,40,0,0,1,2
488,1,1,3,25,0,0,2,0
488,1,1,3,25,0,0,2,0
488,1,1,3,40,0,0,2,0
488,1,1,3,40,0,0,3,0
488,1,1,3,40,0,0,3,2
531,1,0,3,15,0,0,2,0
531,1,0,3,35,0,0,2,0
531,1,0,3,50,0,0,3,0
531,1,1,3,30,0,0,1,0
577,1,0,3,10,0,0,2,0
577,1,0,3,35,0,0,2,0
577,1,0,3,40,0,0,3,1
577,1,0,3,20,0,0,3,2
577,1,1,3,5,0,0,2,0
577,1,1,3,20,0,0,2,0
577,1,1,3,15,0,0,1,1
625,1,0,3,5,0,0,1,0
626,1,1,3,40,0,0,1,0
625,1,1,3,40,0,0,1,0
677,1,0,3,30,0,0,3,0
677,1,0,3,40,0,0,2,1
677,1,1,3,5,0,0,2,0
677,1,1,3,15,0,0,2,0
677,1,1,3,30,0,0,3,0
677,1,1,3,30,0,0,3,0
677,1,1,3,45,0,0,2,0
677,1,1,3,30,0,0,3,2
732,1,0,3,5,0,0,3,0
731,1,0,3,5,0,0,2,0
732,1,0,3,40,0,0,1,1
731,1,0,3,30,0,0,2,1
732,1,0,3,25,0,0,3,1
731,1,1,3,30,0,0,2,0
731,1,1,3,35,0,0,3,0
732,1,1,3,60,0,0,2,0
789,1,0,3,10,0,0,2,0
790,1,0,3,10,0,0,1,0
789,1,0,3,25,0,0,1,0
789,1,0,3,40,0,0,2,0
790,1,0,3,30,0,0,1,1
790,1,1,3,10,0,0,2,0
789,1,1,3,30,0,0,1,0
789,1,1,3,45,0,0,3,0
790,1,1,3,60,0,0,1,0
789,1,1,3,30,0,0,2,1
789,1,1,3,10,0,0,1,1
790,1,1,3,20,0,0,2,1
851,1,0,3,10,0,0,2,0
851,1,0,3,20,0,0,2,0
851,1,0,3,20,0,0,3,0
851,1,0,3,40,0,0,2,0
851,1,1,3,10,0,0,2,0
851,1,1,3,15,0,0,2,0
850,1,1,3,15,0,0,3,0
851,1,1,3,20,0,0,2,0
851,1,1,3,25,0,0,2,0
851,1,1,3,20,0,0,2,2
915,1,0,3,5,0,0,2,0
915,1,0,3,10,0,0,2,0
916,1,0,3,60,0,0,2,0
915,1,0,3,20,0,0,1,1
915,1,0,3,20,0,0,2,1
916,1,0,3,40,0,0,1,1
915,1,0,3,30,0,0,1,2
915,1,1,3,15,0,0,3,0
915,1,1,3,20,0,0,3,0
915,1,1,3,40,0,0,2,0
915,1,1,3,20,0,0,2,1
915,1,1,3,20,0,0,2,2
984,1,0,3,5,0,0,2,0
984,1,0,3,20,0,0,2,0
984,1,0,3,20,0,0,1,0
984,1,0,3,35,0,0,1,0
984,1,0,3,35,0,0,1,0
984,1,1,3,10,0,0,3,0
984,1,1,3,10,0,0,2,0
984,1,1,3,15,0,0,2,0
984,1,1,3,25,0,0,3,0
984,1,1,3,40,0,0,1,0
984,1,1,3,50,0,0,3,0
1056,1,0,3,30,0,0,1,0
1056,1,0,3,40,0,0,3,0
1056,1,0,3,45,0,0,1,0
1056,1,0,3,15,0,0,2,1
1056,1,1,3,5,0,0,2,0
1056,1,1,3,15,0,0,2,0
1056,1,1,3,20,0,0,2,0
1056,1,1,3,40,0,0,3,0
1056,1,1,3,40,0,0,2,1
1132,1,0,3,20,0,0,2,0
1132,1,0,3,30,0,0,1,0
1132,1,0,3,20,0,0,2,1
1132,1,1,3,10,0,0,2,0
1132,1,1,3,15,0,0,3,0
1132,1,1,3,35,0,0,2,0
1212,1,0,3,5,0,0,1,0
1212,1,0,3,10,0,0,3,0
1212,1,0,3,15,0,0,3,0
1212,1,0,3,15,0,0,1,0
1212,1,0,3,20,0,0,3,0
1212,1,0,3,40,0,0,2,0
1212,1,0,3,40,0,0,2,0
1212,1,0,3,25,0,0,2,1
1212,1,0,3,25,0,0,1,2
1212,1,1,3,10,0,0,2,0
1212,1,1,3,15,0,0,2,0
1212,1,1,3,20,0,0,1,0
1212,1,1,3,60,0,0,2,0
1212,1,1,3,20,0,0,2,1
1212,1,1,3,40,0,0,3,1
1296,1,0,3,5,0,0,1,0
1296,1,0,3,20,0,0,2,0
1296,1,0,3,30,0,0,3,0
1296,1,0,3,30,0,0,2,0
1296,1,0,3,10,0,0,3,1
1296,1,0,3,15,0,0,3,1
1297,1,0,3,20,0,0,1,1
1297,1,1,3,10,0,0,1,0
1297,1,1,3,15,0,0,1,0
1296,1,1,3,30,0,0,2,1
1296,1,1,3,40,0,0,2,1
1385,1,0,3,15,0,0,2,0
1385,1,0,3,15,0,0,1,0
1385,1,0,3,15,0,0,3,0
1385,1,0,3,20,0,0,2,0
1385,1,0,3,25,0,0,2,0
1385,1,0,3,30,0,0,2,0
1385,1,0,3,40,0,0,2,0
1385,1,0,3,30,0,0,2,1
1385,1,1,3,5,0,0,1,0
1385,1,1,3,10,0,0,2,0
1385,1,1,3,20,0,0,1,0
1385,1,1,3,30,0,0,3,0
1385,1,1,3,50,0,0,1,0
1385,1,1,3,5,0,0,2,1
1478,1,0,3,20,0,0,2,0
1478,1,0,3,25,0,0,3,0
1478,1,0,3,40,0,0,2,0
1478,1,0,3,20,0,0,1,1
1478,1,0,3,30,0,0,3,1
1478,1,0,3,5,0,0,2,1
1478,1,0,3,20,0,0,1,2
1478,1,1,3,5,0,0,1,0
1478,1,1,3,10,0,0,1,0
1478,1,1,3,30,0,0,2,0
1478,1,1,3,30,0,0,2,0
1478,1,1,3,50,0,0,2,0
1478,1,1,3,40,0,0,3,1
1576,1,0,3,15,0,0,1,0
1575,1,0,3,20,0,0,2,1
1576,1,0,3,25,0,0,2,1
1576,1,1,3,15,0,0,2,0
1575,1,1,3,15,0,0,3,0
1576,1,1,3,20,0,0,1,0
1576,1,1,3,40,0,0,1,0
1678,1,0,3,25,0,0,2,0
1678,1,0,3,10,0,0,2,1
1678,1,0,3,10,0,0,3,1
1678,1,0,3,25,0,0,2,2
1678,1,1,3,15,0,0,2,0
1678,1,1,3,40,0,0,3,0
1678,1,1,3,40,0,0,2,0
1678,1,1,3,40,0,0,2,1
1785,1,0,3,5,0,0,2,0
1785,1,0,3,10,0,0,2,0
1785,1,0,3,15,0,0,3,0
1786,1,0,3,20,0,0,3,0
1785,1,0,3,30,0,0,3,0
1785,1,0,3,35,0,0,2,0
1786,1,0,3,40,0,0,2,0
1786,1,0,3,20,0,0,1,1
1786,1,1,3,10,0,0,2,0
1786,1,1,3,20,0,0,1,0
1786,1,1,3,20,0,0,1,0
1785,1,1,3,30,0,0,3,0
1785,1,1,3,40,0,0,3,0
1785,1,1,3,30,0,0,2,1
1898,1,0,3,25,0,0,3,0
1898,1,0,3,40,0,0,3,1
1898,1,0,3,15,0,0,1,1
1898,1,0,3,20,0,0,3,2
1898,1,1,3,5,0,0,1,0
1898,1,1,3,15,0,0,2,0
1898,1,1,3,15,0,0,1,0
1898,1,1,3,20,0,0,2,0
1898,1,1,3,40,0,0,2,0
2016,1,0,3,5,0,0,1,0
2015,1,0,3,10,0,0,1,0
2016,1,0,3,20,0,0,2,0
2016,1,0,3,10,0,0,2,1
2016,1,0,3,15,0,0,2,1
2015,1,0,3,25,0,0,3,1
2016,1,1,3,5,0,0,2,0
2015,1,1,3,30,0,0,1,0
2016,1,1,3,30,0,0,1,1
2138,1,0,3,30,0,0,2,0
2139,1,0,3,20,0,0,3,1
2138,1,0,3,20,0,0,2,1
2138,1,1,3,5,0,0,1,0
2138,1,1,3,10,0,0,1,0
2139,1,1,3,15,0,0,2,0
2139,1,1,3,20,0,0,3,0
2138,1,1,3,25,0,0,2,0
2267,1,0,3,10,0,0,1,0
2267,1,0,3,20,0,0,1,0
2267,1,0,3,40,0,0,2,0
2267,1,0,3,20,0,0,1,1
2267,1,0,3,40,0,0,1,1
2267,1,1,3,5,0,0,1,0
2267,1,1,3,10,0,0,1,0
2267,1,1,3,20,0,0,3,0
2267,1,1,3,25,0,0,2,0
2267,1,1,3,20,0,0,1,1
2267,1,1,3,10,0,0,1,1
2402,1,0,3,10,0,0,2,1
2401,1,1,3,20,0,0,2,0
2402,1,1,3,20,0,0,3,1
2541,1,0,3,5,0,0,1,0
2541,1,0,3,10,0,0,3,0
2542,1,0,3,20,0,0,2,0
2542,1,0,3,20,0,0,1,0
2541,1,0,3,20,0,0,2,0
2542,1,0,3,10,0,0,2,1
2542,1,1,3,15,0,0,3,0
2542,1,1,3,30,0,0,3,0
2542,1,1,3,20,0,0,2,1
2687,1,0,3,5,0,0,2,0
2688,1,0,3,15,0,0,1,0
2688,1,0,3,20,0,0,2,1
2688,1,0,3,5,0,0,2,1
2688,1,1,3,10,0,0,1,0
2688,1,1,3,15,0,0,2,0
2840,1,1,3,40,0,0,2,0
2999,1,0,3,20,0,0,1,0
2999,1,0,3,20,0,0,1,1
2999,1,1,3,40,0,0,1,0
3164,1,1,3,10,0,0,1,0
3164,1,1,3,10,0,0,1,0
3164,1,1,3,20,0,0,1,0
3165,1,1,3,20,0,0,1,2
3337,1,0,3,10,0,0,2,0
3337,1,0,3,20,0,0,3,0
3337,1,1,3,15,0,0,2,0
3337,1,1,3,25,0,0,3,0
3337,1,1,3,40,0,0,2,0
3516,1,0,3,15,0,0,2,0
3516,1,1,3,10,0,0,3,0
3702,1,0,3,20,0,0,2,0
3895,1,0,3,5,0,0,3,0
3896,1,1,3,20,0,0,1,0
3895,1,1,3,20,0,0,2,0
4096,1,1,3,10,0,0,3,1
4096,1,1,3,15,0,0,1,1
169,0,0,2,30,0,1,2,0
232,0,0,2,20,0,9,2,0
256,0,0,2,20,0,0,2,0
312,0,0,2,35,0,1,2,0
311,0,0,2,60,0,4,1,0
342,0,0,2,5,0,0,2,0
342,0,0,2,10,0,13,2,0
342,0,0,2,10,0,3,2,0
342,0,0,2,20,0,3,2,0
375,0,0,2,15,0,1,1,0
375,0,0,2,20,0,14,2,0
375,0,0,2,25,0,6,1,0
375,0,0,2,25,0,3,1,0
375,0,0,2,30,0,0,2,0
375,0,0,2,30,0,2,2,0
375,0,0,2,40,0,12,2,0
375,0,0,2,40,0,3,3,0
410,0,0,2,5,0,15,2,0
411,0,0,2,10,0,13,2,0
411,0,0,2,10,0,0,1,0
411,0,0,2,20,0,9,2,0
410,0,0,2,20,0,10,3,0
411,0,0,2,25,0,10,2,0
410,0,0,2,35,0,14,2,0
411,0,0,2,50,0,4,3,0
448,0,0,2,5,0,8,1,0
448,0,0,2,10,0,10,1,0
448,0,0,2,15,0,11,2,0
448,0,0,2,15,0,9,2,0
448,0,0,2,15,0,1,1,0
448,0,0,2,20,0,11,3,0
448,0,0,2,20,0,1,3,0
448,0,0,2,20,0,14,1,0
448,0,0,2,20,0,1,1,0
448,0,0,2,30,0,13,1,0
448,0,0,2,30,0,14,2,0
448,0,0,2,30,0,0,1,0
448,0,0,2,40,0,11,1,0
